"";"WSN";"CHN";"FTA";"LAN";"DB";"DSK";"SCR"
"nsga_clone_L_2_15_2";0;0;0;0;0;0;0
"nsga_clone_L_2_15_3";0;0;0;0;0;0;0
"nsga_clone_L_2_4_2";1;0;2;0;0;0;2
"nsga_clone_L_2_4_3";0;0;0;0;0;0;0
"nsga_clone_L_4_15_3";0;0;93;0;44;0;93
"nsga_clone_L_4_15_4";0;1;107;0;46;0;107
"nsga_clone_L_4_4_3";0;4;117;0;60;0;117
"nsga_clone_L_4_4_4";0;2;95;0;44;0;95
"nsga_clone_L_6_15_3";0;2;101;0;61;0;101
"nsga_clone_L_6_15_6";2;6;106;0;57;2;106
"nsga_clone_L_6_4_3";0;5;104;0;51;0;104
"nsga_clone_L_6_4_6";0;7;111;0;52;0;111
