"";"WSN";"CHN";"FTA";"LAN";"DB";"DSK";"SCR"
"spea_clone_L_2_15_2";20;92;62;4;96;0;51
"spea_clone_L_2_15_3";20;21;59;12;121;0;86
"spea_clone_L_2_4_2";21;58;43;12;92;0;28
"spea_clone_L_2_4_3";17;56;41;6;147;0;31
"spea_clone_L_4_15_3";27;13;974;2;330;1;1071
"spea_clone_L_4_15_4";20;24;1092;1;356;4;1122
"spea_clone_L_4_4_3";18;29;1021;6;231;13;1101
"spea_clone_L_4_4_4";7;30;1104;2;410;9;1169
"spea_clone_L_6_15_3";22;43;1034;11;296;17;1051
"spea_clone_L_6_15_6";51;39;970;2;289;27;975
"spea_clone_L_6_4_3";21;28;981;6;395;6;1037
"spea_clone_L_6_4_6";48;34;1069;7;328;6;1026
